Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1966","1966","hg/An","682","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1966","1966","tonnes","5143257","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1967","1967","Head","83420000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1967","1967","hg/An","684","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1967","1967","tonnes","5706616","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1968","1968","Head","86417008","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1968","1968","hg/An","686","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1968","1968","tonnes","5925700","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1969","1969","Head","84968000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1969","1969","hg/An","692","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1969","1969","tonnes","5876258","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1970","1970","Head","87052000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1970","1970","hg/An","700","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1970","1970","tonnes","6090000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1971","1971","Head","95648000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1971","1971","hg/An","701","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1971","1971","tonnes","6705000","","Official data",""
